0, 2023, 05, 08, 07, 17, 8, 1
0, 2023, 05, 08, 18, 35, 1, 8
0, 2023, 05, 09, 07, 34, 8, 1
0, 2023, 05, 09, 18, 13, 1, 8
0, 2023, 05, 10, 07, 09, 8, 1
0, 2023, 05, 10, 17, 34, 1, 8
0, 2023, 05, 12, 05, 46, 8, 1
0, 2023, 05, 12, 16, 45, 1, 8
0, 2023, 05, 14, 09, 49, 8, 2
0, 2023, 05, 14, 13, 58, 2, 8
1, 2023, 05, 08, 05, 22, 4, 8
1, 2023, 05, 08, 19, 20, 8, 4
1, 2023, 05, 09, 05, 59, 4, 1
1, 2023, 05, 09, 16, 25, 1, 4
1, 2023, 05, 10, 07, 42, 4, 1
1, 2023, 05, 10, 18, 21, 1, 4
1, 2023, 05, 12, 07, 33, 4, 1
1, 2023, 05, 12, 16, 08, 1, 4
2, 2023, 05, 08, 08, 28, 1, 2
2, 2023, 05, 08, 17, 54, 2, 1
2, 2023, 05, 09, 06, 52, 1, 2
2, 2023, 05, 09, 20, 41, 2, 1
2, 2023, 05, 10, 07, 45, 1, 2
2, 2023, 05, 10, 17, 57, 2, 1
2, 2023, 05, 11, 07, 07, 1, 2
2, 2023, 05, 11, 18, 37, 2, 1
2, 2023, 05, 12, 06, 08, 1, 2
2, 2023, 05, 12, 17, 28, 2, 1
3, 2023, 05, 08, 08, 39, 5, 6
3, 2023, 05, 08, 17, 47, 6, 5
3, 2023, 05, 09, 04, 14, 5, 6
3, 2023, 05, 09, 19, 06, 6, 5
3, 2023, 05, 10, 06, 02, 5, 6
3, 2023, 05, 10, 18, 54, 6, 5
3, 2023, 05, 11, 07, 17, 5, 6
3, 2023, 05, 11, 16, 10, 6, 5
3, 2023, 05, 12, 06, 59, 5, 6
3, 2023, 05, 12, 18, 40, 6, 5
4, 2023, 05, 08, 05, 50, 5, 2
4, 2023, 05, 08, 14, 42, 2, 5
4, 2023, 05, 09, 07, 15, 5, 2
4, 2023, 05, 09, 13, 34, 2, 5
4, 2023, 05, 10, 06, 26, 5, 2
4, 2023, 05, 10, 12, 02, 2, 5
4, 2023, 05, 11, 08, 35, 5, 2
4, 2023, 05, 11, 12, 01, 2, 5
4, 2023, 05, 12, 07, 59, 5, 2
4, 2023, 05, 12, 13, 30, 2, 5
4, 2023, 05, 14, 11, 19, 5, 10
4, 2023, 05, 14, 21, 36, 10, 5
5, 2023, 05, 08, 06, 49, 8, 4
5, 2023, 05, 08, 16, 05, 4, 8
5, 2023, 05, 09, 08, 48, 8, 4
5, 2023, 05, 09, 17, 28, 4, 8
5, 2023, 05, 10, 05, 23, 8, 4
5, 2023, 05, 10, 17, 07, 4, 8
5, 2023, 05, 11, 07, 15, 8, 4
5, 2023, 05, 11, 17, 20, 4, 8
5, 2023, 05, 12, 06, 49, 8, 4
5, 2023, 05, 12, 16, 12, 4, 8
5, 2023, 05, 13, 11, 51, 8, 10
5, 2023, 05, 13, 16, 34, 10, 8
5, 2023, 05, 14, 10, 46, 8, 10
5, 2023, 05, 14, 16, 25, 10, 8
6, 2023, 05, 08, 05, 53, 8, 9
6, 2023, 05, 08, 16, 21, 9, 8
6, 2023, 05, 09, 06, 54, 8, 9
6, 2023, 05, 09, 17, 23, 9, 8
6, 2023, 05, 10, 06, 25, 8, 9
6, 2023, 05, 10, 17, 11, 9, 8
6, 2023, 05, 11, 05, 33, 8, 9
6, 2023, 05, 11, 18, 00, 9, 8
7, 2023, 05, 08, 05, 23, 8, 4
7, 2023, 05, 08, 14, 24, 4, 8
7, 2023, 05, 09, 07, 55, 8, 4
7, 2023, 05, 09, 15, 45, 4, 8
7, 2023, 05, 10, 06, 37, 8, 4
7, 2023, 05, 10, 13, 23, 4, 8
7, 2023, 05, 11, 06, 41, 8, 4
7, 2023, 05, 11, 14, 28, 4, 8
7, 2023, 05, 12, 06, 48, 8, 4
7, 2023, 05, 12, 16, 19, 4, 8
7, 2023, 05, 13, 12, 40, 8, 1
7, 2023, 05, 13, 21, 25, 1, 8
8, 2023, 05, 08, 04, 44, 8, 7
8, 2023, 05, 08, 14, 06, 7, 8
8, 2023, 05, 09, 06, 20, 8, 7
8, 2023, 05, 09, 14, 22, 7, 8
8, 2023, 05, 10, 06, 43, 8, 7
8, 2023, 05, 10, 13, 18, 7, 8
8, 2023, 05, 11, 06, 07, 8, 7
8, 2023, 05, 11, 14, 19, 7, 8
8, 2023, 05, 12, 06, 04, 8, 7
8, 2023, 05, 12, 14, 27, 7, 8
8, 2023, 05, 13, 10, 12, 8, 4
8, 2023, 05, 13, 21, 54, 4, 8
9, 2023, 05, 08, 07, 28, 2, 4
9, 2023, 05, 08, 17, 06, 4, 2
9, 2023, 05, 09, 07, 15, 2, 4
9, 2023, 05, 09, 16, 35, 4, 2
9, 2023, 05, 11, 08, 44, 2, 4
9, 2023, 05, 11, 17, 10, 4, 2
9, 2023, 05, 12, 05, 51, 2, 4
9, 2023, 05, 12, 17, 00, 4, 2
9, 2023, 05, 13, 08, 38, 2, 10
9, 2023, 05, 13, 15, 05, 10, 2
10, 2023, 05, 08, 06, 05, 6, 8
10, 2023, 05, 08, 13, 31, 8, 6
10, 2023, 05, 11, 08, 21, 6, 9
10, 2023, 05, 11, 15, 39, 9, 6
10, 2023, 05, 13, 09, 01, 6, 9
10, 2023, 05, 13, 19, 55, 9, 6
10, 2023, 05, 14, 05, 30, 6, 2
10, 2023, 05, 14, 19, 30, 2, 6
11, 2023, 05, 08, 06, 41, 1, 9
11, 2023, 05, 08, 17, 10, 9, 1
11, 2023, 05, 09, 06, 41, 1, 9
11, 2023, 05, 09, 16, 30, 9, 1
11, 2023, 05, 10, 06, 10, 1, 9
